id,project_name,category,county,location,period,company,layer,main_benefit,source_url
12025014,布袋廢曬鹽田水鳥樂園的轉型之路,生物多樣性-其他,嘉義縣,嘉義縣 布袋鎮,2026/09/01 起 至2027/12/31 止,明泰科技股份有限公司,3;4,nature;social,https://esg.forest.gov.tw/ForestESG/Report/Showcase?NobjID=12025014
12026001,檳林轉型-新森盎然行動,造林,臺中市,臺中市 新社區,2026/05/01 起 至2029/04/30 止,台灣積體電路製造股份有限公司,2待查;3;4,carbon;nature;social,https://esg.forest.gov.tw/ForestESG/Report/Showcase?NobjID=12026001
2025007,「手」護抹茶山，步道永續行,山林開放社會服務發展,宜蘭縣,宜蘭縣 礁溪鄉,2026/01/01 起 至2026/12/31 止,中華電信股份有限公司宜蘭營運處,4,social,https://esg.forest.gov.tw/ForestESG/Report/Showcase?NobjID=2025007
2024061,在風的最前線，守護麥仔寮,造林,雲林縣,雲林縣 麥寮鄉,2025/09/10 起 至2044/12/31 止,台塑石化股份有限公司,2待查;3;4,carbon;nature;social,https://esg.forest.gov.tw/ForestESG/Report/Showcase?NobjID=2024061
2024029,Babo Rinisan 森企盎然,造林,臺中市,臺中市 東勢區,2026/03/01 起 至2031/11/30 止,財團法人日月光環保永續基金會,2待查;3;4,carbon;nature;social,https://esg.forest.gov.tw/ForestESG/Report/Showcase?NobjID=2024029
2024047,三生有虎，友善共好,野生物保育,苗栗縣,苗栗縣 通霄鎮,2025/07/01 起 至2027/06/30 止,信邦電子股份有限公司,3;4,nature;social,https://esg.forest.gov.tw/ForestESG/Report/Showcase?NobjID=2024047
2024043,石虎好朋友,野生物保育,苗栗縣,苗栗縣 苗栗市,2025/05/15 起 至2025/12/31 止,中華電信股份有限公司苗栗營運處,3;4,nature;social,https://esg.forest.gov.tw/ForestESG/Report/Showcase?NobjID=2024043
2023012,保護地質瑰寶,棲地營造,苗栗縣,苗栗縣 三義鄉/苗栗縣 苑裡鎮,2024/11/19 起 至2025/12/31 止,裕隆汽車製造股份有限公司,3;4,nature;social,https://esg.forest.gov.tw/ForestESG/Report/Showcase?NobjID=2023012
2023001,【松羅蘭馨 綠林再造】,造林,宜蘭縣,宜蘭縣 大同鄉,2025/01/01 起 至2044/12/31 止,冠德建設股份有限公司,2待查;3;4,carbon;nature;social,https://esg.forest.gov.tw/ForestESG/Report/Showcase?NobjID=2023001
2023013,峰峰相連漾綠意、共造綠色生活圈,造林,臺東縣,臺東縣 金峰鄉,2024/09/20 起 至2044/09/19 止,信義房屋股份有限公司,2待查;3;4,carbon;nature;social,https://esg.forest.gov.tw/ForestESG/Report/Showcase?NobjID=2023013
2023165,活化森林、永續湖山,造林,雲林縣,雲林縣 斗六市,2024/09/01 起 至2044/10/30 止,誌懋股份有限公司,2待查;3;4,carbon;nature;social,https://esg.forest.gov.tw/ForestESG/Report/Showcase?NobjID=2023165
2024021,再現蝶影,野生物保育,新竹縣,新竹縣 五峰鄉,2024/12/01 起 至2025/12/31 止,新唐科技股份有限公司,3;4,nature;social,https://esg.forest.gov.tw/ForestESG/Report/Showcase?NobjID=2024021
