source_md,case_name,year_batch,owner,location,applicant,quality
105R.md,西憲綠色生活,2015,國防部軍備局-閒置房舍,萬華區華江里環河南路二段250巷23號MAP15,西憲綠色生活人,ok
105R.md,童趣緬懷及人群和安全關係的串聯,2014,南方桃花源社區管委會-法定空地,文山區明興里木柵路二段109巷26弄口MAP01,臺北,ok
105R.md,紹興菜依鄰,2014,臺灣大學-空地,中正區東門里仁愛市文山區明興社區發展協會[FB]明興社區（公開社團）路一段28-34號MAP03,紹興學程,ok
105R.md,幸福庭院改造計畫,2015,中華民國紅十字會台灣省分會-庭院圍牆,中正區南門里博愛路230巷6號MAP17,臺北市中正老人服務中心,ok
105R.md,長春藤舒果嬉夢園,2016,臺北市政府財政局-閒置空地,信0830-1730,臺北市中正老人服務中心,ok
105R.md,Open！打開哲學家的秘密花園：殷海光故居空間改造開放提案,2015,臺北市政府稅捐稽徵處-建屬]臺灣大學-古蹟庭院,大安區龍坡里溫州街18巷16弄1-1號MAP19,財團法人紀念殷海光先生1400-1700，週三、四1600-1900,ok
105R.md,晴光美好，城市農原,2014,公、私-開放空間,中山區晴光里雙城街17巷11號MAP10,臺北市晴光商圈雙城徒步街商業促進會育航幼兒園，友善邊界營造育航幼兒園為一棟L型建,ok
105R.md,廊裡廊外童聲趣,2016,中華民國-幼兒園,中山區復[提案名稱]2016年度-Open！蓬萊小空地[權屬]國有財產屬-畸零地[地點]大同區蓬華里長春路256號MAP,臺北市立育航幼兒園,ok
105R.md,Open！蓬萊小空地,2016,國有財產屬-畸零地,大同區蓬華里長春路256號MAP39,臺北市立育航幼兒園,ok
105R.md,綠點紫星星,2016,國有財產署-閒置空地,內湖區紫星里星雲街51號對面MAP40,紫星星綠點工作坊,ok
105R.md,笑‧順食堂；2016年度-藝起走到老,2014,臺北市政府財政局-閒置空地；社會局-退縮人行道空間；停管處-公車亭,文山區忠[提案名稱]2016年度-北投生態園區故事館[權屬]臺北市政府教育局新民國中-校園順里興隆路四段109巷4號；興,臺北市文空間,ok
105R.md,北投生態園區故事館,2016,臺北市政府教育局新民國中-校園順里興隆路四段109巷4號；興隆路四段109巷30,北投區林泉里中山路5之12號MAP41,臺北市文空間,ok
105R.md,圍牆拆心橋通友善空間訴關懷,2016,國防部-公私介面,文山區明興里秀明路一段19巷1號MAP27,臺北市文山區明興社區發展協會舊忠恕市場，地下冒出的源源活力,ok
105R.md,有種，南機場；2016年度-社區想像的實踐—移動花園,2015,臺北市政府市場處-閒置房舍,萬華區新忠里（忠恕社區）中華路二段364巷24[提案名稱]2016年度-165康樂（Corner）常青花園[權屬]臺北市,傳溥設計面,ok
105R.md,165康樂（Corner）常青花園,2016,臺北市政府市場處-公私介弄46號B1MAP14[開放]戶外24HR；駐點活動時間,文山區順興里興隆路四段195巷MAP26,傳溥設計面,ok
105R.md,友善地球的綠色小柴屋,2015,國有財產屬-閒置空地,大同區民權里保安街3號旁MAP22,小柴屋工班,ok
105R.md,轉角遇見綠；2015年度-危牆倒下吧！龍泉宿舍開門計畫,2014,國防部-閒置房舍；國有財產署-閒置房舍,大安區古風里雲和街72巷9號；師大路117巷1-3號MAP06,水陸畔文化生活聯盟、大,ok
105R.md,路過18一朵花,2016,國有財產署、臺北市財政局-畸零地,,,ok
105R.md,聚寶盆；2014年度-童樂劇場；2016年度-大橋讀冊院,2014,私人-閒置房舍,大同區國順里迪化街二段143巷2號MAP08；延平北路三段104巷7-1號MAP09；迪化街二段106號MAP35,太玥工作室、橋木工作團隊（後改由大橋工舍接續完成）、大同區國順里辦公處,ok
105R.md,開啟哈密街的新生活,2015,臺北市政府-閒置空地,大同區保安里哈密街45巷與哈密街1弄轉角MAP23,大龍哈密新生活小隊,ok
105R.md,扭轉施洛德文學花園計畫；2016年度-城南101‧味覺交流站,2014,國有財產署-閒置空地,中正區河堤里同安街87號MAP04；同安街101巷[提案名稱]2015年度-南機場有事牆！[權屬]國盛國宅-建築轉角[地,中正社區大學、中正區河堤里辦公處、臺北市城南水岸文化協勤里中華路二段315巷MA,ok
105R.md,南機場有事牆！,2015,國盛國宅-建築轉角,中正區忠1號MAP31,中正社區大學、中正區河堤里辦公處、臺北市城南水岸文化協勤里中華路二段315巷MA,ok
