year,region,case_name,site_address,district_village,proposing_unit,investment_type,layer,main_benefit,maintenance_years,public_evidence,verifiability
2021,W,背景簡述與需求,,,,,,,,110W,
2021,W,計劃目標,,,,,,,,110W,
2021,W,工作執行流程,,,,,,,,110W,
2021,W,辦理說明會,,,,,,,,110W,
2021,W,初選辦理情形,,,,,,,,110W,
2021,W,建立學習型組織,,,,,,,,110W,
2021,W,輔導紀錄,,,,,,,,110W,
2021,W,各小組網絡關係圖,,,,,,,,110W,
2021,W,培訓方案（培力課程規劃）,,,,,,,,110W,
2021,W,提案團隊社區行動,,,,,,,,110W,
2021,W,評審委員現地訪視,,,,,,,,110W,
2021,W,輔導會議辦理情形,,,,,,,,110W,
2021,W,辦理複選會議,,,,,,,,110W,
2021,W,通過複選名單,,,,,,,,110W,
2021,W,辦理認證,,,,,,,,110W,
2021,W,入選提案改造前工作安排情形,,,,,,,,110W,
2021,W,複選退選組別與原因,,,,,,,,110W,
2021,W,會議緣起,,,,,,,,110W,
2021,W,論壇主題與辦理方式,,,,,,,,110W,
2021,W,論壇活動紀錄,,,,,,,,110W,
2021,W,粉專經營,,,,,,,,110W,
2021,W,創意事項（微旅行）,,,,,,,,110W,
2021,W,合作計畫與社群,,,,,,,,110W,
2021,W,配合辦理綠生活節,,,,,,,,110W,
2021,W,東西區知識與經驗交流,,,,,,,,110W,
2021,W,回應以生態為主題的空間需求,,,,,,,,110W,
2021,W,提案團隊的空間維護管理意識提升,,,,,,,,110W,
2021,W,活動統計列表,,,,,,,,110W,
2021,W,說明會簽到表,,,,,,,,110W,
2021,W,初選會議之評委與提案人簽到表,,,,,,,,110W,
2021,W,培力課程簽到表,,,,,,,,110W,
2021,W,複選會議之評委與提案人簽到表,,,,,,,,110W,
2021,W,複選會議評分表,,,,,,,,110W,
2021,W,認證相關文件,,,,,,,,110W,
2021,W,現地訪視與輔導會議之評委與提案人簽到表,,,,,,,,110W,
2021,W,跨縣市交流論壇簽到表,,,,,,,,110W,
2021,W,活動出席簽到表,,,,,,,,110W,
2023,W,延平201,臺北市士林區芝玉路一段 126 號,,,,,,,112W,
2023,W,中山有點草,臺北市萬華區大理街 132 之7 號糖廍文化園區社區共享空,,,,,,,112W,
2023,W,植物新力,臺北市中正區汀洲路三段230 巷16 弄1 號前,,,,,,,112W,
2023,W,美崙種子發芽計畫,,,,,,,,112W,
2023,W,大屯里社區種植體驗園區,,,,,,,,112W,
2023,W,花現牯嶺842,,,,,,,,112W,
2023,W,新興市場巷弄改造計畫,,,,,,,,112W,
2023,W,看見南機場,,,,,,,,112W,
2023,W,尊賢社區綠美化,,,,,,,,112W,
2023,W,土地公保平安,,,,,,,,112W,
2023,W,Open Yard 打開大我的院子,,,,,,,,112W,
2023,W,萬華糖部ESG 可實地景,,,,,,,,112W,
2023,W,點亮寶村-共生聚落農園新生計畫,,,,,,,,112W,
2024,E,臉書粉絲專頁及 Instagram 帳號經營,,,,,,,,113E,
2024,E,創意回饋 Podcast,,,,,,,,113E,
2024,W,社區訪查,台北市大同區延平北路二段201 號,,,,,,,113W,
2024,W,輔導執行,台北市中正區汀州路三段2 號,,,,,,,113W,
2024,W,永昌水路小角落：詔安276,台北市中山區中山北路二段26 巷36 號,,,,,,,113W,
2024,W,OPEN 北投101,,,,,,,,113W,
2024,W,文林社區樸門綠生活,,,,,,,,113W,
2024,W,蕨圓體,,,,,,,,113W,
2024,W,厚德中藥魔法園,,,,,,,,113W,
2024,W,打造社區雞舍共創多元玩法,,,,,,,,113W,
2024,W,城市綠洲計畫,,,,,,,,113W,
2024,W,整備組成果驗收小旅行,,,,,,,,113W,
2024,W,攜家帶眷，做伙來OPH,,,,,,,,113W,
2024,W,「中山有點草」城市生態野化計畫,,,,,,,,113W,
2024,W,改造驗收微旅行,,,,,,,,113W,
2024,W,期程規劃,,,,,,,,113W,
2024,W,綠生活節十周年與擴大辦理活動:,,,,,,,,113W,
2024,W,前導活動之社區小旅行,,,,,,,,113W,
2024,W,綠生活節,,,,,,,,113W,
2024,W,計畫之外的滾動,,,,,,,,113W,
2024,W,潛在提案社區訪視表,,,,,,,,113W,
2024,W,評選會議紀錄及簽到表,,,,,,,,113W,
2024,W,改造組計畫簡表及簡報,,,,,,,,113W,
2024,W,整備組計畫簡報,,,,,,,,113W,
2024,W,認證相關文件,,,,,,,,113W,
2024,W,揪伴報名表,,,,,,,,113W,
2024,W,社區利害網絡關係圖,,,,,,,,113W,
2024,W,現地驗收相關資料,,,,,,,,113W,
2024,W,開放資料CHECKLIST,,,,,,,,113W,
2025,E,翠湖農園改造計畫,台北市內湖區大湖山莊街131 號,,,,,,,114E,
2025,E,脫鞋趣2.0,臺北市內湖區大湖街143 號,,,,,,,114E,
