source_md,case_name,proposing_unit,budget
112年-Open+Green-東區總結報告書,白石湖社區綠環境空間盤點計畫,1  臺北市內湖區白石湖社區發展協會,
112年-Open+Green-東區總結報告書,112年大湖社區親河親山環境串連計畫,2  臺北市內湖區大湖社區發展協會,
112年-Open+Green-東區總結報告書,親近【內湖第一棵大樹】,3  王郁蘭,
112年-Open+Green-東區總結報告書,"Open Corner, Open Power -共享綠空間奇蹟",4  臺北市南港區久如社區發展協會,
112年-Open+Green-東區總結報告書,聯成社區巷弄香草園,5  臺北市南港區聯成社區發展協會,
112年-Open+Green-西區總結報告書,Open Yard 打開大我的院子,岩山社區文史志工團,30萬元整
112年-Open+Green-西區總結報告書,萬華糖廍 ESG 可食地景,萬華社區小學,14萬元整
113年-Open+Green-西區總結報告書,大屯共饗空間,張天恩,"270,000"
113年-Open+Green-西區總結報告書,永續x 美學基,,
114年-OPG-西區總結報告書,北投101,,
