TreeID,Dist,Region,RegionRemark,TreeType,Diameter_cm,TreeHeight_m,SurveyDate,TWD97X,TWD97Y,elev_m,elev_band,height_valid,diameter_valid,within_taipei,analysis_ready
BT0614021096,士林區,文林路,東側人行道,榕樹,54,16,2022-11-18,302404.92,2777358.41,5.0,都市平地,1,1,1,1
BT0614021097,士林區,文林路,東側人行道,白千層,45,6.8,2022-11-18,302408.24,2777352.36,5.0,都市平地,1,1,1,1
BT0614021098,士林區,文林路,東側人行道,茄苳,6,8.7,2022-11-18,302413.58,2777342.69,5.0,都市平地,1,1,1,1
BT0614031095,士林區,文林路,西側人行道,白千層,22,7.7,2022-11-18,302369.5,2777349.52,5.0,都市平地,1,1,1,1
BT0614031096,士林區,文林路,西側人行道,茄苳,6,7.7,2022-11-18,302374.59,2777340.07,5.0,都市平地,1,1,1,1
BT0614031097,士林區,文林路,西側人行道,茄苳,40,10.5,2022-11-18,302383.43,2777324.42,5.0,都市平地,1,1,1,1
BT0614031098,士林區,文林路,西側人行道,茄苳,11,7.4,2022-11-18,302388.37,2777314.97,5.0,都市平地,1,1,1,1
NG0590010038,士林區,環河北路三段,西側人行道,白千層,31,11.62,2016-05-21,300889.8,2775475.49,5.0,都市平地,1,1,1,1
NG0590010039,士林區,環河北路三段,西側人行道,白千層,27,11.52,2016-05-21,300915.82,2775439.11,5.0,都市平地,1,1,1,1
SL0174310001,士林區,環河北路三段,,桃花心木,8.9,6.5,2022-08-01,301097.6,2775186.51,4.0,都市平地,1,1,1,1
SL0174310002,士林區,環河北路三段,,桃花心木,9.1,4.8,2022-08-01,301066.46,2775246.71,4.0,都市平地,1,1,1,1
SL0174310003,士林區,環河北路三段,,桃花心木,15.4,7.7,2022-08-01,301035.17,2775301.73,4.0,都市平地,1,1,1,1
SL0174310004,士林區,環河北路三段,,桃花心木,14,8.1,2022-08-01,301031.65,2775307.1,4.0,都市平地,1,1,1,1
SL0174310005,士林區,環河北路三段,,芒果,10.12,2.9,2022-08-01,301089.91,2775136.08,4.0,都市平地,1,1,1,1
SL0174310011,士林區,環河北路三段,,黑板樹,40.2,10.3,2022-08-02,301190.74,2774874.79,3.0,都市平地,1,1,1,1
SL0174310012,士林區,環河北路三段,,榕樹,67.5,13.3,2022-08-02,300974.74,2775390.15,4.0,都市平地,1,1,1,1
SL0174310013,士林區,環河北路三段,,黑板樹,82.9,11.5,2022-08-02,301187.25,2774901.11,3.0,都市平地,1,1,1,1
SL0174310014,士林區,環河北路三段,,黑板樹,74.2,11.6,2022-08-02,301185.91,2774906.46,3.0,都市平地,1,1,1,1
SL0174310015,士林區,環河北路三段,,黑板樹,67.4,9.8,2022-08-02,301188.14,2774892.77,3.0,都市平地,1,1,1,1
SL0174310016,士林區,環河北路三段,,榕樹,26.7,9.2,2022-08-02,300976.6,2775386.13,3.0,都市平地,1,1,1,1
SL0174310017,士林區,環河北路三段,,榕樹,41.8,12.6,2022-08-02,300981.18,2775377.34,3.0,都市平地,1,1,1,1
SL0174310018,士林區,環河北路三段,,臺灣欒樹,8.5,4.6,2022-08-02,301233.27,2774885.1,3.0,都市平地,1,1,1,1
SL0174310019,士林區,環河北路三段,,榕樹,46.9,8.6,2022-08-02,300979.07,2775382.34,3.0,都市平地,1,1,1,1
SL0174310020,士林區,環河北路三段,,木棉,29.4,11.6,2022-08-02,301187.87,2774889.1,3.0,都市平地,1,1,1,1
SL0174310021,士林區,環河北路三段,,茄苳,23.1,8.2,2022-08-02,301223.97,2774920.09,3.0,都市平地,1,1,1,1
SL0174310022,士林區,環河北路三段,,水黃皮,6.8,3.4,2022-08-02,301182.76,2774993.41,2.0,都市平地,1,1,1,1
SL0174310023,士林區,環河北路三段,,木棉,24.5,11.5,2022-08-29,300873.57,2775508.25,5.0,都市平地,1,1,1,1
SL0174310026,士林區,環河北路三段,,白千層,53.2,14.6,2022-08-30,300701.69,2775696.94,5.0,都市平地,1,1,1,1
SL0174310027,士林區,環河北路三段,,龍眼,8.4,7.2,2022-08-30,300651.92,2775744.2,5.0,都市平地,1,1,1,1
SL0174310028,士林區,環河北路三段,,龍眼,11.7,8.7,2022-08-30,300653.04,2775743.09,5.0,都市平地,1,1,1,1
SL0174310029,士林區,環河北路三段,,楊桃,14.48,7.7,2022-08-30,300615.73,2775779.05,5.0,都市平地,1,1,1,1
