district,n_cells,area_ha,canopy_ha,cover_pct,mean_h_all_m,mean_h_canopy_m,median_h_canopy_m,p90_h_canopy_m,sigmaH_m_ha
士林區,619202,6192.0,3966.3,64.06,6.3,9.83,10.0,17,39003.2
南港區,219012,2190.1,1355.9,61.91,5.66,9.14,9.0,16,12396.6
內湖區,319155,3191.6,1894.2,59.35,5.32,8.96,9.0,14,16981.5
文山區,311694,3116.9,1809.7,58.06,5.26,9.05,9.0,16,16382.9
北投區,575615,5756.2,3252.7,56.51,5.35,9.47,9.0,17,30810.6
信義區,112370,1123.7,491.4,43.73,4.38,10.01,10.0,17,4916.9
大安區,113199,1132.0,310.6,27.44,2.23,8.14,8.0,15,2529.2
中山區,140357,1403.6,346.4,24.68,1.77,7.16,7.0,12,2479.6
中正區,74187,741.9,148.5,20.02,1.34,6.69,6.0,12,993.1
萬華區,74416,744.2,95.2,12.79,0.7,5.46,5.0,11,519.6
大同區,47761,477.6,50.6,10.6,0.61,5.74,5.0,11,290.9
松山區,86533,865.3,86.7,10.02,0.59,5.85,5.0,11,507.6
