county,n_towns,area_ha,cover_gt0_pct,cover_ge2_pct,mean_gt0_m,direct_area_ha,direct_cover_gt0_pct,direct_cover_ge2_pct,cover_diff_pp
花蓮縣,13,459999.4,82.64,81.3,13.808,457690.1,82.65,81.3,-0.01
南投縣,13,411527.0,81.1,79.12,13.798,409428.9,81.1,79.13,0.0
臺東縣,16,356643.7,81.09,79.51,13.105,354756.8,81.1,79.52,-0.01
新北市,29,204093.7,77.85,76.21,11.581,203036.5,77.89,76.25,-0.04
新竹縣,13,141410.8,77.02,75.13,12.958,140691.1,77.06,75.17,-0.04
宜蘭縣,12,216695.4,75.23,74.04,13.117,215603.7,75.28,74.09,-0.05
苗栗縣,18,183463.6,72.04,70.37,12.626,182509.0,72.07,70.4,-0.03
基隆市,7,13779.0,70.51,68.63,7.887,13693.9,70.54,68.66,-0.03
高雄市,38,293530.7,63.45,61.05,11.484,292048.9,63.38,60.98,0.07
屏東縣,33,281197.9,61.85,58.07,7.822,279614.6,61.88,58.1,-0.03
臺中市,29,224921.2,56.5,54.53,12.492,223816.5,56.5,54.53,0.0
嘉義縣,18,196010.9,53.88,51.65,11.672,194938.9,53.9,51.67,-0.02
臺北市,12,27095.6,51.26,48.88,9.255,26937.3,51.27,48.88,-0.01
桃園市,13,119751.7,45.97,44.06,11.338,119108.8,46.02,44.1,-0.05
連江縣,4,2923.0,45.24,41.02,6.413,2877.6,45.77,41.45,-0.53
臺南市,37,226817.2,37.12,34.41,7.856,225575.7,37.13,34.41,-0.01
金門縣,6,18545.2,31.88,28.64,4.704,18464.5,31.94,28.69,-0.06
嘉義市,2,6000.1,31.83,27.36,7.591,5960.3,31.83,27.38,0.0
新竹市,3,12500.2,30.72,28.5,8.794,12422.4,30.71,28.5,0.01
澎湖縣,6,12678.8,20.33,15.77,3.14,12496.6,20.5,15.9,-0.17
雲林縣,20,140390.5,15.91,14.26,7.88,139618.1,15.91,14.26,0.0
彰化縣,26,124752.6,13.53,11.76,6.218,124053.9,13.52,11.75,0.01
