towncode,county,town,n_tiles,n_pixels,area_ha,cover_gt0_pct,cover_ge2_pct,mean_gt0_m,p90_gt0_m,mean_ge2_m
10008080,南投縣,中寮鄉,1,121245877,14453.96,82.55,77.44,7.599,16,8.034
10008130,南投縣,仁愛鄉,1,1029694682,122518.53,88.09,86.85,15.435,24,15.641
10008120,南投縣,信義鄉,1,1195140684,143024.99,87.22,85.59,15.36,24,15.632
10008010,南投縣,南投市,1,60570793,7219.0,46.97,43.53,6.609,13,7.053
10008060,南投縣,名間鄉,1,66747352,7963.83,32.55,29.01,6.807,14,7.515
10008100,南投縣,國姓鄉,1,173875280,20687.76,81.65,77.1,8.169,16,8.592
10008020,南投縣,埔里鎮,1,144469524,17203.03,63.67,61.89,11.117,18,11.408
10008110,南投縣,水里鄉,1,93990783,11223.83,77.08,74.81,11.923,21,12.253
10008040,南投縣,竹山鎮,1,217239476,25980.57,69.78,67.57,11.983,21,12.343
10008030,南投縣,草屯鎮,1,87714213,10444.06,42.86,39.43,6.708,15,7.205
10008050,南投縣,集集鎮,1,33445097,3991.31,69.3,66.4,9.671,17,10.05
10008090,南投縣,魚池鄉,1,104485077,12461.65,77.64,76.11,11.561,19,11.773
10008070,南投縣,鹿谷鄉,1,120100068,14354.52,80.93,78.97,12.4,21,12.683
10020010,嘉義市,東區,1,24992123,2998.8,45.74,40.62,8.444,18,9.381
10020020,嘉義市,西區,1,25012012,3001.27,17.93,14.11,5.415,12,6.613
10010130,嘉義縣,中埔鄉,1,108851985,13076.42,74.21,70.48,8.982,17,9.404
10010080,嘉義縣,六腳鄉,1,52197361,6260.42,7.99,6.38,4.607,10,5.517
10010170,嘉義縣,大埔鄉,1,145517361,17511.52,81.56,79.95,11.128,18,11.332
10010040,嘉義縣,大林鎮,1,54191638,6490.84,31.78,28.41,7.037,15,7.753
10010010,嘉義縣,太保市,1,55628872,6675.76,9.65,7.58,4.897,11,5.964
10010030,嘉義縣,布袋鎮,1,65365568,7855.84,2.87,2.38,5.644,13,6.608
10010070,嘉義縣,新港鄉,1,55474970,6649.92,6.67,4.69,3.862,9,5.068
10010020,嘉義縣,朴子市,1,41808001,5019.22,7.01,5.51,4.453,9,5.392
10010090,嘉義縣,東石鄉,1,68619553,8235.26,13.35,12.1,6.121,11,6.649
10010150,嘉義縣,梅山鄉,1,100160028,12004.69,78.85,75.42,9.952,19,10.36
10010050,嘉義縣,民雄鄉,1,71145834,8528.85,23.2,20.14,7.236,15,8.184
10010120,嘉義縣,水上鄉,1,58610451,7038.23,27.55,24.46,8.537,18,9.488
10010060,嘉義縣,溪口鄉,1,27189330,3256.89,6.06,4.65,4.369,9,5.387
10010160,嘉義縣,番路鄉,1,94013657,11289.86,79.79,76.89,10.792,20,11.16
10010140,嘉義縣,竹崎鄉,1,131358027,15756.28,81.32,77.3,8.764,17,9.168
10010100,嘉義縣,義竹鄉,1,65308143,7852.4,3.22,2.54,4.226,9,5.089
10010180,嘉義縣,阿里山鄉,1,391703693,47029.36,85.8,84.16,15.303,25,15.583
10010110,嘉義縣,鹿草鄉,1,45612583,5479.12,5.42,4.23,4.853,11,5.94
10017020,基隆市,七堵區,1,48159034,5632.21,81.96,80.43,8.293,13,8.431
10017050,基隆市,中山區,1,9339105,1091.49,43.71,40.64,5.866,10,6.234
10017010,基隆市,中正區,1,11813650,1379.89,33.29,31.27,6.349,11,6.696
10017040,基隆市,仁愛區,1,3912339,457.47,58.72,55.3,6.078,10,6.392
10017070,基隆市,信義區,1,9103288,1064.35,61.16,58.92,7.769,13,8.026
10017060,基隆市,安樂區,1,15944552,1863.74,70.24,67.92,6.992,11,7.197
10017030,基隆市,暖暖區,1,19570128,2289.8,84.51,83.28,8.682,13,8.796
10002100,宜蘭縣,三星鄉,1,74945803,8827.87,30.94,29.53,9.504,17,9.909
10002090,宜蘭縣,五結鄉,1,34365091,4046.48,8.28,6.83,4.035,8,4.676
10002080,宜蘭縣,冬山鄉,1,64037806,7546.11,34.69,32.58,8.633,15,9.127
10002120,宜蘭縣,南澳鄉,1,602732809,71252.93,89.69,88.67,14.032,22,14.183
10002070,宜蘭縣,員山鄉,1,120832048,14215.86,67.96,66.66,12.526,20,12.751
10002060,宜蘭縣,壯圍鄉,1,33683890,3962.27,6.18,5.32,4.863,10,5.492
10002110,宜蘭縣,大同鄉,1,649736631,76683.09,87.26,86.22,13.534,21,13.685
10002010,宜蘭縣,宜蘭市,1,25982165,3056.39,8.59,7.04,4.678,10,5.487
10002050,宜蘭縣,礁溪鄉,1,85682518,10069.25,60.4,59.02,11.557,19,11.804
10002020,宜蘭縣,羅東鎮,1,9616654,1132.54,8.97,7.33,5.106,11,6.023
10002030,宜蘭縣,蘇澳鎮,1,76237929,8996.07,60.59,58.77,9.718,17,9.988
10002040,宜蘭縣,頭城鎮,2,58900706,6906.5,69.15,67.4,8.391,14,8.583
10013260,屏東縣,三地門鄉,1,154107045,18680.79,86.34,83.44,7.986,14,8.228
10013080,屏東縣,九如鄉,1,35697377,4331.42,15.9,12.29,3.602,7,4.366
10013210,屏東縣,佳冬鄉,1,26614720,3243.58,36.47,31.7,3.324,5,3.674
10013300,屏東縣,來義鄉,1,133940536,16306.44,79.6,75.18,7.039,13,7.394
10013130,屏東縣,內埔鄉,1,63812113,7751.88,45.32,38.45,3.692,7,4.174
10013200,屏東縣,南州鄉,1,15507681,1888.56,36.94,29.49,3.132,6,3.67
10013010,屏東縣,屏東市,1,54641183,6636.49,18.11,15.65,5.081,10,5.724
10013180,屏東縣,崁頂鄉,1,20898417,2543.75,19.23,16.62,4.23,8,4.738
10013040,屏東縣,恆春鎮,1,115031083,14108.09,51.04,47.12,5.577,11,5.958
10013170,屏東縣,新園鄉,1,37483975,4562.49,6.82,5.38,3.659,7,4.369
10013150,屏東縣,新埤鄉,1,46837373,5703.38,35.06,28.59,3.396,6,3.938
10013310,屏東縣,春日鄉,1,128213392,15631.17,79.46,74.35,7.19,13,7.615
10013030,屏東縣,東港鎮,1,25426325,3097.3,7.21,5.41,3.264,6,4.02
10013160,屏東縣,枋寮鄉,1,49682195,6057.13,22.79,15.94,2.95,6,3.787
10013250,屏東縣,枋山鄉,1,14873303,1816.85,19.57,11.45,2.459,5,3.495
10013190,屏東縣,林邊鄉,1,14083052,1716.05,22.65,18.25,3.409,7,3.99
10013290,屏東縣,泰武鄉,1,102589414,12471.08,85.18,81.54,8.891,17,9.243
10013240,屏東縣,滿州鄉,1,119747732,14673.15,80.32,78.59,9.03,14,9.206
10013020,屏東縣,潮州鎮,1,35117704,4273.21,33.94,28.45,3.678,7,4.195
10013330,屏東縣,牡丹鄉,1,142556964,17441.77,92.33,91.46,10.131,15,10.218
10013320,屏東縣,獅子鄉,1,257590520,31468.78,86.75,82.84,8.363,15,8.71
10013220,屏東縣,琉球鄉,1,4576683,558.48,35.54,28.18,3.61,8,4.292
10013280,屏東縣,瑪家鄉,1,51032860,6197.66,88.51,84.86,7.108,13,7.37
10013140,屏東縣,竹田鄉,1,24494610,2978.27,38.89,32.96,3.283,5,3.694
10013050,屏東縣,萬丹鄉,1,48988881,5956.62,8.92,7.03,3.662,7,4.376
10013120,屏東縣,萬巒鄉,1,50277408,6113.81,46.64,38.32,3.406,6,3.929
10013230,屏東縣,車城鄉,1,48646239,5958.28,55.6,50.36,5.125,10,5.555
10013090,屏東縣,里港鄉,1,57780896,7004.11,16.67,13.24,3.719,7,4.422
10013060,屏東縣,長治鄉,1,37901361,4601.34,38.97,33.7,4.382,9,4.911
10013270,屏東縣,霧臺鄉,1,252423270,30615.67,80.57,78.73,10.893,17,11.124
10013110,屏東縣,高樹鄉,1,78120846,9468.1,23.21,17.72,3.515,7,4.293
10013100,屏東縣,鹽埔鄉,1,49005171,5945.2,25.54,19.73,3.464,7,4.19
10013070,屏東縣,麟洛鄉,1,11499113,1396.96,49.04,43.8,4.357,8,4.759
10007200,彰化縣,二林鎮,1,77705660,9261.98,10.05,7.54,4.13,9,5.169
10007180,彰化縣,二水鄉,1,29453840,3516.5,40.79,37.8,9.251,17,9.904
10007050,彰化縣,伸港鄉,1,39787535,4723.65,3.7,3.15,4.937,9,5.635
10007190,彰化縣,北斗鎮,1,16634457,1984.2,12.5,9.21,3.613,8,4.544
10007030,彰化縣,和美鎮,1,32279488,3835.69,6.93,5.78,4.742,9,5.486
10007100,彰化縣,員林市,1,32921844,3921.61,34.46,32.43,8.383,16,8.844
10007150,彰化縣,埔心鄉,1,17683366,2106.54,8.19,6.13,3.33,7,4.111
10007140,彰化縣,埔鹽鄉,1,32958023,3923.75,5.6,4.21,3.924,8,4.884
10007220,彰化縣,埤頭鄉,1,35787937,4267.91,12.19,9.53,4.706,10,5.741
10007240,彰化縣,大城鄉,1,80251812,9573.87,2.14,1.68,4.248,8,5.137
10007130,彰化縣,大村鄉,1,25442760,3029.03,19.58,18.05,6.932,14,7.437
10007010,彰化縣,彰化市,1,55559430,6605.95,30.33,27.87,6.506,12,6.994
10007160,彰化縣,永靖鄉,1,17056846,2032.89,11.09,8.22,3.124,6,3.866
10007260,彰化縣,溪州鄉,1,58293296,6957.71,9.84,7.36,4.058,9,5.088
10007110,彰化縣,溪湖鎮,1,26168981,3117.45,11.54,8.76,4.311,9,5.36
10007120,彰化縣,田中鎮,1,28917877,3449.95,29.83,26.83,8.129,16,8.926
10007210,彰化縣,田尾鄉,1,20818290,2482.0,16.4,11.6,3.239,7,4.167
10007170,彰化縣,社頭鄉,1,30265450,3608.04,38.74,35.7,6.957,14,7.465
10007060,彰化縣,福興鄉,1,48843384,5811.25,1.82,1.3,3.117,6,3.97
10007070,彰化縣,秀水鄉,1,24555834,2921.61,4.28,3.35,3.925,8,4.741
10007250,彰化縣,竹塘鄉,1,35272012,4208.45,6.56,4.6,4.209,10,5.579
10007040,彰化縣,線西鄉,1,26129982,3103.8,2.25,1.82,3.617,7,4.222
10007090,彰化縣,芬園鄉,1,32193114,3831.84,49.42,46.4,6.342,13,6.689
10007080,彰化縣,花壇鄉,1,30361345,3612.47,41.67,38.31,6.855,13,7.368
10007230,彰化縣,芳苑鄉,1,122446921,14585.41,3.43,2.66,3.827,8,4.644
10007020,彰化縣,鹿港鎮,1,69640318,8279.02,2.28,1.75,3.86,8,4.732
65000090,新北市,三峽區,1,140866532,16535.46,90.08,88.69,11.44,18,11.603
65000210,新北市,三芝區,1,58084756,6779.4,66.62,63.69,10.225,18,10.65
