zone,n_cells,mean_sai,mean_canopy_m,mean_pop_density,deficit_cells,deficit_pct_of_zone,pct_of_all_deficit
住宅區,4510,30.6,1.63,178.7,3304,73.3,41.8
(未標註使用分區),2248,34.1,2.54,108.2,1045,46.5,13.2
商業區,981,24.2,0.44,189.8,752,76.7,9.5
特定專用區,444,24.1,1.0,246.9,418,94.1,5.3
工業區,444,22.1,0.51,145.8,340,76.6,4.3
機關用地,533,49.3,3.52,94.2,219,41.1,2.8
國小用地,269,28.4,1.48,167.2,204,75.8,2.6
河川區,1660,17.1,0.43,27.5,201,12.1,2.5
公園用地,1014,38.1,4.43,55.4,188,18.5,2.4
保護區,6993,63.5,8.18,11.1,122,1.7,1.5
交通用地,158,38.0,1.03,106.8,99,62.7,1.3
國中用地,138,30.1,1.57,143.6,93,67.4,1.2
機場用地,244,9.4,0.15,46.7,71,29.1,0.9
台灣大學用地,86,50.3,2.94,139.5,69,80.2,0.9
高中用地,91,32.1,1.68,135.3,68,74.7,0.9
農業區,549,42.9,1.18,19.1,47,8.6,0.6
大專用地,74,43.5,2.25,123.2,45,60.8,0.6
文教區,110,44.7,3.84,100.7,45,40.9,0.6
娛樂區,62,16.3,0.69,97.0,41,66.1,0.5
醫療用地,62,42.8,4.08,109.7,32,51.6,0.4
體育場用地,33,31.2,0.98,206.0,32,97.0,0.4
高職用地,31,31.5,1.76,180.1,26,83.9,0.3
高速公路用地,305,44.1,3.2,18.6,25,8.2,0.3
堤防用地,81,23.0,0.82,44.4,22,27.2,0.3
綠地用地,49,42.0,4.6,123.1,19,38.8,0.2
遊樂區,52,6.6,1.19,71.5,19,36.5,0.2
行政區,70,38.7,1.79,56.3,17,24.3,0.2
公墓用地,154,59.2,4.45,31.2,16,10.4,0.2
河道用地,36,44.0,1.91,92.6,16,44.4,0.2
廣場用地,16,32.9,1.39,210.3,15,93.8,0.2
政治大學用地,107,52.3,7.04,38.1,15,14.0,0.2
師範大學用地,23,26.8,1.86,95.8,12,52.2,0.2
特定休閒旅館住宅專用區,32,44.0,3.92,78.2,12,37.5,0.2
鐵路用地,14,18.5,0.38,189.9,12,85.7,0.2
國立陽明大學用地,48,46.9,4.34,50.1,10,20.8,0.1
學校用地,19,40.8,1.74,72.7,10,52.6,0.1
自來水廠用地,23,49.1,2.16,68.8,10,43.5,0.1
污水處理場用地,22,19.9,0.91,59.9,9,40.9,0.1
警察學校用地,15,39.0,3.23,92.2,9,60.0,0.1
風景區,186,57.1,7.74,15.7,9,4.8,0.1
大學用地,13,34.1,0.66,100.3,8,61.5,0.1
師專用地,16,38.2,4.3,161.8,8,50.0,0.1
市場用地,8,26.3,0.73,239.4,7,87.5,0.1
特定觀光商業專用區,9,24.6,1.86,146.4,7,77.8,0.1
社會福利設施用地,7,22.0,0.67,213.9,7,100.0,0.1
變電所用地,10,28.5,0.84,206.8,7,70.0,0.1
保存區,12,28.9,2.41,123.0,6,50.0,0.1
社福及機關用地,13,38.8,2.37,117.4,6,46.2,0.1
私立文化大學用地,8,64.0,2.99,127.6,6,75.0,0.1
批發市場用地,15,13.9,0.22,73.4,5,33.3,0.1
排水溝用地,5,22.1,1.04,209.7,5,100.0,0.1
社教機構用地,10,38.7,2.29,118.4,5,50.0,0.1
社教用地,5,49.1,2.46,175.7,5,100.0,0.1
行政專用區,9,18.8,0.93,80.8,5,55.6,0.1
車站用地,8,26.8,0.5,131.7,5,62.5,0.1
交通廣場用地,6,24.0,0.95,133.0,4,66.7,0.1
垃圾處理場用地,109,54.3,2.44,13.0,4,3.7,0.1
文教用地,4,31.4,0.72,361.6,4,100.0,0.1
聯合開發區,4,24.1,0.19,152.2,4,100.0,0.1
軍事機關用地,18,52.3,8.38,49.5,4,22.2,0.1
陽明山國家公園區,4801,69.4,8.64,3.2,4,0.1,0.1
停車場用地,6,33.8,1.26,132.2,3,50.0,0.0
復興劇校學校用地,4,39.7,2.01,156.4,3,75.0,0.0
抽水站用地,18,21.3,0.93,46.3,3,16.7,0.0
綠地(苗圃),7,42.4,4.48,117.9,3,42.9,0.0
郵政用地,3,33.9,0.43,129.8,3,100.0,0.0
醫療專用區,3,37.6,0.61,124.7,3,100.0,0.0
電信用地,7,30.8,0.94,117.8,3,42.9,0.0
電力設施用地,8,29.9,1.43,86.1,3,37.5,0.0
公車調度站用地,2,31.5,0.56,247.5,2,100.0,0.0
博物館特定專用區,2,23.2,0.91,116.1,2,100.0,0.0
商務產業專用區,2,23.6,0.33,257.2,2,100.0,0.0
國際事務及公共服務特定專用區,2,25.1,0.68,280.5,2,100.0,0.0
捷運系統用地,2,47.6,1.03,214.6,2,100.0,0.0
文教區(供幼華高級中學使用),2,44.3,0.8,160.7,2,100.0,0.0
產業支援設施用地,2,21.9,0.82,107.1,2,100.0,0.0
產業服務區,3,14.1,0.46,98.0,2,66.7,0.0
私立德明商專學校用地,2,37.2,1.89,220.7,2,100.0,0.0
私立西湖工商學校用地,2,20.5,0.78,194.1,2,100.0,0.0
護坡用地,14,54.5,4.77,52.2,2,14.3,0.0
轉運站用地,4,34.8,0.11,88.1,2,50.0,0.0
醫療及衛生用地,4,31.9,1.33,61.0,2,50.0,0.0
金融服務專用區,3,26.6,2.72,220.8,2,66.7,0.0
防洪調節池用地,12,52.8,3.51,47.5,2,16.7,0.0
公園廣場用地,1,14.0,1.56,112.6,1,100.0,0.0
加油站用地,1,21.4,0.42,101.8,1,100.0,0.0
國立臺北藝術大學用地,38,45.1,4.27,21.7,1,2.6,0.0
市立啟明學校用地,1,39.3,0.36,150.0,1,100.0,0.0
市立啟智學校用地,1,43.0,0.75,194.5,1,100.0,0.0
文化觀光專用區,1,26.2,2.64,95.4,1,100.0,0.0
文教區(供奎山實驗高級中等學校使用),1,20.1,3.02,203.8,1,100.0,0.0
文教區(供私立薇閣中小學使用),1,26.1,1.33,194.2,1,100.0,0.0
文教區(供馬偕醫護管理專科學校使用),2,27.2,3.54,67.6,1,50.0,0.0
機關用地(供中央機關使用),1,26.3,0.46,114.3,1,100.0,0.0
水利設施用地,1,35.8,1.19,106.4,1,100.0,0.0
污水抽水站用地,1,38.7,1.09,138.0,1,100.0,0.0
煤氣公用事業用地,3,48.9,2.3,51.2,1,33.3,0.0
社會福利設施及機關用地,1,21.6,0.98,197.7,1,100.0,0.0
私立文德女中學校用地,1,40.8,0.25,133.1,1,100.0,0.0
科技產業專用區
,27,35.0,0.42,32.3,1,3.7,0.0
衛福及機關用地,1,60.3,0.42,90.0,1,100.0,0.0
警察機關用地,1,42.6,0.66,450.8,1,100.0,0.0
道路護坡用地,1,44.7,3.45,142.8,1,100.0,0.0
郵政電信用地,1,28.3,0.02,187.6,1,100.0,0.0
醫院用地,1,18.5,1.41,169.1,1,100.0,0.0
電信及社會福利專用區,1,23.2,0.1,248.2,1,100.0,0.0
電信專用區,1,16.4,0.25,222.3,1,100.0,0.0
中正紀念堂用地,24,43.9,2.62,41.4,0,0.0,0.0
人行步道(無遮簷),2,37.4,0.69,53.9,0,0.0,0.0
公園綠地,8,20.4,3.17,27.6,0,0.0,0.0
創意文化專用區,8,16.5,1.84,30.6,0,0.0,0.0
動物園用地,168,55.6,7.62,12.3,0,0.0,0.0
古蹟保存區,2,25.5,1.3,52.4,0,0.0,0.0
台北工專用地,8,27.3,1.91,29.4,0,0.0,0.0
垃圾掩理場用地,39,51.6,5.49,3.3,0,0.0,0.0
宗教特定專用區,2,48.8,3.36,20.0,0,0.0,0.0
寺廟專用區,3,55.6,3.26,51.6,0,0.0,0.0
