year,sensor,era,n_cells,zero_share_pct,mean_positive,mean_all,mean_positive_deficit,mean_positive_other,usable
1998,LT05,Landsat (1998–2014),27228,5.8,1141.0,1075.0,547.0,1394.0,True
1999,LT05,Landsat (1998–2014),27228,47.6,562.0,294.0,275.0,630.0,True
2000,LE07,Landsat (1998–2014),27228,0.9,1195.0,1185.0,648.0,1421.0,True
2001,LE07,Landsat (1998–2014),27228,18.9,1486.0,1206.0,777.0,1836.0,True
2002,LE07,Landsat (1998–2014),27228,2.2,1907.0,1865.0,726.0,2398.0,True
2003,LE07,Landsat (1998–2014),27228,98.7,35.0,0.0,23.0,37.0,False
2004,LE07,Landsat (1998–2014),27228,19.1,2199.0,1778.0,952.0,2749.0,True
2005,LT05,Landsat (1998–2014),27228,3.2,2011.0,1946.0,777.0,2531.0,True
2006,LT05,Landsat (1998–2014),27228,2.4,1916.0,1870.0,792.0,2387.0,True
2007,LT05,Landsat (1998–2014),27228,1.7,2184.0,2146.0,919.0,2712.0,True
2008,LE07,Landsat (1998–2014),27228,84.4,315.0,49.0,200.0,334.0,False
2009,LE07,Landsat (1998–2014),27228,10.7,2058.0,1837.0,870.0,2545.0,True
2010,LE07,Landsat (1998–2014),27228,15.4,2248.0,1902.0,915.0,2799.0,True
2011,LT05,Landsat (1998–2014),27228,2.6,1464.0,1426.0,526.0,1857.0,True
2012,LE07,Landsat (1998–2014),27228,3.2,2016.0,1951.0,901.0,2482.0,True
2013,LE07,Landsat (1998–2014),27228,20.0,1561.0,1250.0,683.0,1935.0,True
2014,LC08,Landsat (1998–2014),27228,12.7,1527.0,1333.0,950.0,1782.0,True
2015,S2,Sentinel-2 (2015–2025),27228,96.7,452.0,15.0,309.0,477.0,False
2016,S2,Sentinel-2 (2015–2025),27228,53.8,1289.0,596.0,623.0,1802.0,True
2017,S2,Sentinel-2 (2015–2025),27228,45.9,1310.0,709.0,596.0,1871.0,True
2018,S2,Sentinel-2 (2015–2025),27228,45.6,1322.0,719.0,672.0,1833.0,True
2019,S2,Sentinel-2 (2015–2025),27228,45.4,1241.0,677.0,580.0,1762.0,True
2020,S2,Sentinel-2 (2015–2025),27228,46.3,1189.0,638.0,539.0,1693.0,True
2021,S2,Sentinel-2 (2015–2025),27228,45.3,1675.0,916.0,787.0,2371.0,True
2022,S2,Sentinel-2 (2015–2025),27228,52.2,1126.0,538.0,450.0,1555.0,True
2023,S2,Sentinel-2 (2015–2025),27228,50.7,920.0,454.0,376.0,1287.0,True
2024,S2,Sentinel-2 (2015–2025),27228,51.3,1109.0,540.0,473.0,1529.0,True
2025,S2,Sentinel-2 (2015–2025),27228,100.0,0.0,0.0,nan,nan,False
